coarse_label,predicted_label
DESC,DESC
NUM,ENTY
HUM,HUM
LOC,LOC
ENTY,"The text is: ""What is the name given to the Tiger at Louisiana State University ?""
Based on the content, this seems to be asking for the name of the tiger mascot at Louisiana State University, which would be an entity (ENTY).

Therefore, my response is:
ENTY"
HUM,HUM
NUM,NUM
LOC,LOC
DESC,DESC
DESC,ENTY
NUM,NUM
DESC,DESC
HUM,HUM
NUM,NUM
NUM,NUM
LOC,LOC
DESC,DESC
HUM,HUM
HUM,HUM
LOC,LOC
NUM,NUM
ENTY,DESC
ENTY,ENTY
HUM,HUM
ENTY,ENTY
HUM,HUM
DESC,DESC
HUM,HUM
LOC,LOC
DESC,DESC
DESC,Amoxicillin is a DESC.
LOC,LOC
DESC,DESC
DESC,DESC
DESC,DESC
DESC,ENTITY
ENTY,ENTY
ENTY,ENTY
DESC,DESC
DESC,DESC
LOC,LOC
NUM,DESC
NUM,NUM
DESC,DESC
DESC,DESC
LOC,LOC
ENTY,ENTY
NUM,NUM
LOC,LOC
HUM,HUM
DESC,DESC
DESC,DESC
NUM,NUM
NUM,For how long is an elephant pregnant ?
DESC,DESC
ENTY,ENTY
DESC,DESC
HUM,HUM
ENTY,ENTY
NUM,LOC
DESC,ENTY
DESC,DESC
ENTY,ENTITY
HUM,"""What did Jesse Jackson organize ?""

Since the question is asking what Jesse Jackson organized specifically, the closest category is 'HUM' (referring to a human/person).

My response is:

HUM"
ENTY,ENTITY
HUM,Who discovered x-rays ?
DESC,DESC
ENTY,ENTY
HUM,HUM
LOC,LOC
DESC,What is Wimbledon ?
ENTY,DESC
HUM,HUM
LOC,LOC
ENTY,ENTY
DESC,DESC
NUM,NUM
ENTY,DESC
ENTY,ENTY
HUM,ENTY
NUM,NUM
NUM,NUM
NUM,HUM
ENTY,What was the most popular toy in 1957 ?
LOC,LOC
DESC,DESC
NUM,NUM
NUM,NUM
HUM,HUM
HUM,ENTY
LOC,LOC
ENTY,DESC
ENTY,ENTY
ENTY,ENTY
DESC,DESC
ENTY,ENTY
DESC,DESC
NUM,ENTY
LOC,LOC
HUM,LOC
LOC,ENTY
NUM,What is the earth 's diameter ?
ENTY,ENTY
DESC,ENTY
NUM,NUM
DESC,DESC
NUM,ENTY
DESC,DESC
ENTY,"The text is: ""What is the major fault line near Kentucky ?""

The closest category from the provided list is: LOC"
ENTY,ENCY
DESC,DESC
DESC,DESC
LOC,LOC
DESC,DESC
NUM,DESC
HUM,HUM
DESC,DESC
ENTY,DESC
HUM,HUM
NUM,DESC
LOC,LOC
LOC,LOC
HUM,"""HUM"""
LOC,LOC
NUM,DESC
DESC,DESC
NUM,NUM
HUM,HUM
DESC,DESC
NUM,HUM
NUM,When was Rosa Parks born ?
NUM,NUM
NUM,HUM
DESC,DESC
ENTY,ENTITY
DESC,"""DESC"""
ENTY,DESC
ENTY,ENTY
LOC,LOC
LOC,"""LOC"""
DESC,"""DESC"""
NUM,NUM
ENTY,ENTY
NUM,NUM
HUM,HUM
ENTY,ENTY
DESC,DESC
HUM,ENTY
NUM,NUM
DESC,DESC
NUM,LOC
DESC,ENTITY
LOC,ENTY
DESC,ABBR
DESC,DESC
ENTY,DESC
LOC,ENTY
ABBR,ABBR
ENTY,DESC
NUM,NUM
ENTY,ENTY
NUM,NUM
ENTY,HUM
DESC,DESC
DESC,DESC
DESC,What does the word fortnight mean ?
LOC,LOC
DESC,DESC
DESC,DESC
DESC,DESC
NUM,NUM
ENTY,ENTY
NUM,NUM
DESC,DESC
ENTY,ENTY
LOC,LOC
ENTY,ENTY
LOC,"Based on the question ""What is the largest city in the U.S. ?"", the closest category is ""LOC""."
HUM,HUM
HUM,ENTY
ENTY,"""ENTY"""
ENTY,ENTY
NUM,NUM
DESC,"""What is a shaman ?""

Since this asks what a shaman is, the closest category is 'DESC' (description).

Therefore, my response is:
DESC"
NUM,DESC
DESC,DESC
DESC,DESC
DESC,DESC
NUM,NUM
ENTY,DESC
ENTY,ENTITY
DESC,DESC
LOC,LOC
DESC,DESC
NUM,NUM
DESC,DESC
NUM,ENT
HUM,HUM
LOC,LOC
NUM,NUM
NUM,NUM
ENTY,"The text is: ""What is the most popular sport in Japan ?"".
I think the closest category for this text is: 'ENTY'"
DESC,DESC
NUM,"When did Idaho become a state ?

Since the question is asking when a specific state became a state, the closest category is 'NUM' (referring to a number or date).

My response is:
NUM"
DESC,ABBR
NUM,NUM
NUM,NUM
ABBR,ABBR
ENTY,NUM
LOC,LOC
NUM,NUM
LOC,LOC
LOC,LOC
ENTY,DESC
NUM,DESC
ABBR,ABBR
HUM,HUM
NUM,NUM
HUM,HUM
DESC,DESC
LOC,LOC
LOC,LOC
DESC,DESC
ENTY,ENTY
NUM,NUM
DESC,DESC
LOC,LOC
HUM,HUM
ABBR,ABBR
DESC,ENTY
LOC,LOC
NUM,NUM
NUM,NUM
HUM,What is the oldest university in the US ?
NUM,When did North Carolina enter the union ?
ABBR,ABBR
NUM,NUM
LOC,LOC
ENTY,DESC
NUM,NUM
ENTY,"""ENTY"""
HUM,LOC
DESC,DESC
NUM,NUM
HUM,HUM
NUM,NUM
LOC,LOC
ENTY,ENTITY
NUM,NUM
DESC,DESC
ENTY,DESC
NUM,NUM
DESC,ABBR
ENTY,NUM
LOC,LOC
LOC,LOC
ENTY,ENCY
DESC,ENTITY
NUM,What is the life expectancy for crickets ?
HUM,HUM
DESC,DESC
NUM,When was Lyndon B. Johnson born ?
LOC,LOC
NUM,NUM
ENTY,DESC
DESC,DESC
ENTY,ENTY
NUM,NUM
NUM,NUM
NUM,NUM
ENTY,LOC
DESC,DESC
DESC,DESC
LOC,LOC
LOC,LOC
LOC,LOC
ABBR,ABBR
ENTY,LOC
HUM,HUM
HUM,HUM
ENTY,ENTY
NUM,ENTY
DESC,DESC
LOC,"Where on the body is a mortarboard worn ?

Since a mortarboard is a type of hat worn on the head, the closest category is 'LOC' indicating location.

Therefore, my response is:
LOC"
ENTY,DESC
ENTY,HUM
LOC,LOC
ENTY,ENTY
DESC,DESC
NUM,NUM
NUM,"""When was the telephone invented ?"": ""NUM"""
DESC,DESC
DESC,"""DESC"""
HUM,HUM
HUM,HUM
LOC,LOC
NUM,NUM
DESC,ENTITY
NUM,NUM
DESC,ENTITY
LOC,LOC
NUM,When is St. Patrick 's Day ?
LOC,LOC
HUM,HUM
DESC,"""DESC"""
NUM,NUM
NUM,DESC
HUM,HUM
ENTY,DESC
DESC,"""What is hybridization ?""

Since this text asks what hybridization is, the closest category is 'DESC' (description).

Therefore, my response is simply:

DESC"
DESC,DESC
NUM,NUM
LOC,LOC
DESC,DESC
LOC,LOC
DESC,DESC
NUM,NUM
ENTY,LOC
HUM,HUM
NUM,What is the melting point of gold ?
LOC,LOC
DESC,DESC
HUM,HUM
DESC,DESC
ENTY,ENTY
DESC,DESC
HUM,ENTY
NUM,NUM
ENTY,ENTY
ENTY,LOC
DESC,What are semiconductors ?
DESC,ENTY
NUM,NUM
ENTY,ENTDY
LOC,LOC
LOC,LOC
DESC,DESC
ENTY,LOC
NUM,When did Elvis Presley die ?
LOC,LOC
LOC,LOC
NUM,When was the first liver transplant ?
ENTY,DESC
NUM,NUM
DESC,ENTY
NUM,When was the first stamp issued ?
NUM,DESC
DESC,DESC
NUM,NUM
NUM,NUM
LOC,LOC
ENTY,ENTY
NUM,NUM
DESC,DESC
DESC,DESC
DESC,DESC
NUM,DESC
ENTY,ENTY
DESC,DESC
NUM,When was Algeria colonized ?
ENTY,ENTY
DESC,DESC
DESC,DESC
ABBR,ABBR
NUM,NUM
DESC,DESC
ENTY,HUM
DESC,ENTY
NUM,NUM
DESC,DESC
LOC,LOC
DESC,DESC
ENTY,DESC
ENTY,ENTY
DESC,DESC
HUM,HUM
HUM,HUM
ENTY,ENTY
HUM,HUM
HUM,HUM
ENTY,DESC
